"","X","id","name","latitude","longitude","latest"
"1",1,60,"Haringey - Haringey Town Hall",51.599302,-0.068218,"2024-12-07T06:00:00Z"
"2",4,146,"Southwark - A2 Old Kent Road FIDAS",51.4804994936467,-0.0595528932573422,"2024-12-07T14:00:00Z"
"3",6,148,"London Bloomsbury - UKA00211",51.5222899992301,-0.125889000211334,"2024-12-07T06:00:00Z"
"4",7,149,"Ealing - Horn Lane TEOM",51.5189160348806,-0.265652052386222,"2024-12-07T15:00:00Z"
"5",8,150,"London Haringey Priory Park South - UKA00568",51.5841279997181,-0.125254000001611,"2024-12-07T06:00:00Z"
"6",9,151,"Tower Hamlets - Mile End Road",51.5225294860844,-0.0421550991900347,"2024-12-07T06:00:00Z"
"7",10,152,"Camden Kerbside - UKA00259",51.5442099997435,-0.17526899971392,"2024-12-07T06:00:00Z"
"8",11,153,"London Hillingdon - UKA00266",51.4963299997163,-0.460860999582473,"2024-12-07T06:00:00Z"
"9",12,154,"Westminster - Marylebone Road",51.52254,-0.15459,"2024-12-07T15:00:00Z"
"10",13,155,"Kensington and Chelsea - North Ken",51.5210467476039,-0.213492139585065,"2024-12-07T06:00:00Z"
"11",15,157,"Bexley - Slade Green",51.4659832746662,0.184877126994369,"2024-12-07T15:00:00Z"
"12",16,158,"London Teddington Bushy Park - UKA00572",51.4252859993446,-0.34560599968469,"2024-12-07T06:00:00Z"
"13",17,159,"London Westminster - UKA00435",51.4946699996591,-0.131930999642045,"2024-12-07T06:00:00Z"
"14",151,225705,"Bexley - Belvedere West",51.4946486813055,0.137279111232178,"2024-12-07T14:00:00Z"
"15",152,225707,"Enfield - Derby Road",51.614864007,-0.0507658363689,"2024-12-07T15:00:00Z"
"16",153,225708,"Barking and Dagenham - Rush Green",51.563752,0.177891,"2024-12-07T15:00:00Z"
"17",154,225709,"Croydon - Norbury",51.411349,-0.12311,"2024-12-07T15:00:00Z"
"18",155,225710,"Greenwich - Blackheath",51.472504,-0.012381,"2024-12-07T15:00:00Z"
"19",156,225711,"Enfield - Bowes Primary School",51.613865,-0.125338,"2024-12-07T15:00:00Z"
"20",157,225713,"Brent - ARK Franklin Primary Academy",51.5324054617809,-0.217718908639377,"2024-12-07T15:00:00Z"
"21",158,225714,"Bexley - Belvedere",51.4906102082147,0.158914493927518,"2024-12-07T13:00:00Z"
"22",159,225715,"Brent - Neasden Lane",51.552656,-0.248774,"2024-12-07T15:00:00Z"
"23",161,225719,"Brent - John Keble Primary School",51.537799,-0.247793,"2024-12-07T15:00:00Z"
"24",163,225723,"Brent - Ikea",51.552476,-0.258089,"2024-12-07T15:00:00Z"
"25",164,225725,"Bromley - Harwood Avenue",51.405546,0.018882,"2024-12-07T15:00:00Z"
"26",165,225727,"Barking and Dagenham - Scrattons Farm",51.529389,0.132857,"2024-12-07T14:00:00Z"
"27",166,225730,"Enfield - Prince of Wales School",51.66864334727,-0.02200720557,"2024-12-07T15:00:00Z"
"28",168,225733,"Ealing - Hanger Lane Gyratory",51.53085,-0.292488,"2024-12-07T15:00:00Z"
"29",169,225734,"Croydon - Purley Way A23",51.3622305655403,-0.117604507351392,"2024-12-07T15:00:00Z"
"30",171,225736,"Enfield - Bush Hill Park",51.6450367266602,-0.0661800662229116,"2024-12-07T15:00:00Z"
"31",173,225741,"Ealing - Acton Vale ",51.5038527919816,-0.254668101620372,"2024-12-07T15:00:00Z"
"32",176,225747,"Greenwich - A206 Burrage Grove",51.490532,0.074003,"2024-12-07T15:00:00Z"
"33",177,225751,"Greenwich - Plumstead High Street",51.486957,0.095111,"2024-12-07T15:00:00Z"
"34",179,225755,"Greenwich - John Harrison Way",51.4937746695818,0.0107796237032558,"2024-12-07T15:00:00Z"
"35",182,225761,"Greenwich - Woolwich Flyover",51.486884,0.017901,"2024-12-07T15:00:00Z"
"36",183,225763,"Havering - Rainham",51.520787459334,0.205460705694044,"2024-12-07T14:00:00Z"
"37",186,225766,"Lewisham - Deptford",51.4795312838203,-0.0252606031340197,"2024-12-07T15:00:00Z"
"38",187,225767,"Lambeth - Brixton Road",51.464113541162,-0.11458102695123,"2024-12-07T15:00:00Z"
"39",188,225769,"Greenwich - Fiveways Sidcup Rd A20",51.4346627060562,0.0642224671704697,"2024-12-07T14:00:00Z"
"40",194,225776,"Lewisham - Loampit Vale",51.4646910611736,-0.0160682432041527,"2024-12-07T15:00:00Z"
"41",198,225782,"Islington - Arsenal",51.557895,-0.106989,"2024-12-07T15:00:00Z"
"42",202,225787,"Southwark - Tower Bridge Road",51.5013906712066,-0.0782034373606952,"2024-12-07T14:00:00Z"
"43",203,225789,"Havering - Romford",51.572976,0.179079,"2024-12-07T15:00:00Z"
"44",205,225791,"Islington - Holloway Road",51.555378,-0.116146,"2024-12-07T15:00:00Z"
"45",207,225793,"Southwark - Elephant and Castle",51.4931557048667,-0.101527038274853,"2024-12-07T15:00:00Z"
"46",208,225794,"Southwark - Lower Road",51.4965604167321,-0.0530504472531612,"2024-12-07T15:00:00Z"
"47",209,225796,"Greenwich - Falconwood FDMS",51.4563,0.085606,"2024-12-07T15:00:00Z"
"48",210,225797,"Greenwich - Westhorne Avenue",51.456357,0.040725,"2024-12-07T15:00:00Z"
"49",211,225800,"Greenwich - Trafalgar Road (Hoskins St)",51.4839072533485,0.000407396935849736,"2024-12-07T15:00:00Z"
"50",212,225801,"Westminster - Elizabeth Bridge",51.4922482333024,-0.147114752900186,"2024-12-07T15:00:00Z"
"51",213,225802,"Southwark - Vicarage Grove",51.4735803479615,-0.0877818536754426,"2024-12-07T15:00:00Z"
