"","X.1","X","id","name","latitude","longitude","latest","value"
"1","1","1","60","Haringey - Haringey Town Hall","51.599302","-0.068218","2024-12-08T19:00:00Z","10"
"2","2","3","141","London Harlington - UKA00472","51.4887899996239","-0.441613999935495","2024-12-08T19:00:00Z","50.68975"
"3","3","4","146","Southwark - A2 Old Kent Road FIDAS","51.4804994936467","-0.0595528932573422","2024-12-08T19:00:00Z","6.2"
"4","4","6","148","London Bloomsbury - UKA00211","51.5222899992301","-0.125889000211334","2024-12-08T19:00:00Z","18"
"5","5","7","149","Ealing - Horn Lane","51.518948","-0.265617","2024-12-08T19:00:00Z","13.8"
"6","6","8","150","London Haringey Priory Park South - UKA00568","51.5841279997181","-0.125254000001611","2024-12-08T19:00:00Z","50.69078"
"7","7","9","151","Tower Hamlets - Mile End Road","51.5225294860844","-0.0421550991900347","2024-12-08T19:00:00Z","11.475"
"8","8","10","152","Camden Kerbside - UKA00259","51.5442099997435","-0.17526899971392","2024-12-08T19:00:00Z","15"
"9","9","11","153","London Hillingdon - UKA00266","51.4963299997163","-0.460860999582473","2024-12-08T19:00:00Z","51.08992"
"10","10","12","154","Westminster - Marylebone Road","51.52254","-0.15459","2024-12-08T19:00:00Z","7.65"
"11","11","13","155","Kensington and Chelsea - North Ken","51.5210467476039","-0.213492139585065","2024-12-08T19:00:00Z","0"
"12","12","15","157","Bexley - Slade Green","51.4659832746662","0.184877126994369","2024-12-08T19:00:00Z","6.7"
"13","13","16","158","London Teddington Bushy Park - UKA00572","51.4252859993446","-0.34560599968469","2024-12-08T19:00:00Z","10"
"14","14","17","159","London Westminster - UKA00435","51.4946699996591","-0.131930999642045","2024-12-08T19:00:00Z","3"
"15","15","151","225705","Bexley - Belvedere West","51.4946486813055","0.137279111232178","2024-12-08T19:00:00Z","3.8"
"16","16","152","225707","Enfield - Derby Road","51.614864007","-0.0507658363689","2024-12-08T19:00:00Z","1.3"
"17","17","153","225708","Barking and Dagenham - Rush Green","51.563752","0.177891","2024-12-08T19:00:00Z","-0.7"
"18","18","154","225709","Croydon - Norbury","51.411349","-0.12311","2024-12-08T19:00:00Z","24.8"
"19","19","155","225710","Greenwich - Blackheath","51.472504","-0.012381","2024-12-08T19:00:00Z","7.5"
"20","20","156","225711","Enfield - Bowes Primary School","51.613865","-0.125338","2024-12-08T19:00:00Z","7.5"
"21","21","157","225713","Brent - ARK Franklin Primary Academy","51.5324054617809","-0.217718908639377","2024-12-08T19:00:00Z","7.3"
"22","22","158","225714","Bexley - Belvedere","51.4906102082147","0.158914493927518","2024-12-08T15:00:00Z","6.7"
