"","id","name","latitude","longitude","latest"
"70",223736,"Romford Road",51.554615,0.058982,"2018-12-06T02:00:00Z"
"71",223737,"Commercial Street",51.518123,-0.074271,"2020-12-01T00:00:00Z"
"72",223738,"Columbia Road",51.528491,-0.074268,"2020-11-01T01:00:00Z"
"73",223739,"Edgware Road",51.51419,-0.161979,"2020-12-01T00:00:00Z"
"74",223740,"Shaftsbury Avenue",51.51207,-0.131959,"2020-12-01T00:00:00Z"
"75",223741,"Park Lane",51.507988,-0.153446,"2020-12-01T00:00:00Z"
"76",223742,"Farringdon Street",51.514743,-0.104526,"2019-05-31T03:00:00+01:00"
"77",223743,"Southbury Road",51.649088,-0.054961,"2020-12-01T00:00:00Z"
"78",223744,"St James",51.474143,-0.038547,"2020-12-01T00:00:00Z"
"79",223745,"Hertford Road",51.673753,-0.038301,"2020-12-01T00:00:00Z"
"80",223746,"Devonshire Street",51.488199,-0.255688,"2020-12-01T00:00:00Z"
"81",223747,"Crowthorne Road",51.516554,-0.218503,"2020-11-20T09:00:00Z"
"82",223748,"Cadogan Gardens",51.493217,-0.158772,"2020-12-01T00:00:00Z"
"83",223749,"Beckenham Lane",51.4073728,0.0057789,"2020-12-01T00:00:00Z"
"84",223750,"Geraldine Street",51.49562,-0.105412,"2020-12-01T00:00:00Z"
"85",223751,"Church Street",51.4813,-0.00986,"2020-12-01T00:00:00Z"
"86",223752,"Station Parade",51.539063,0.080874,"2020-08-27T18:00:00+01:00"
"87",223753,"Whipps Cross University Hospital",51.577305,0.00283,"2020-12-01T00:00:00Z"
"88",223754,"Marylebone",51.52304,-0.174732,"2020-12-01T00:00:00Z"
"89",223755,"St Thomas's Hospital",51.499104,-0.11705,"2020-12-01T00:00:00Z"
"90",223756,"Blackfriars Road",51.505529,-0.104345,"2020-02-29T10:00:00Z"
"91",223757,"Mansford Street",51.528757,-0.061823,"2020-12-01T00:00:00Z"
"92",223758,"Bonington Road",51.544414,0.21182,"2020-12-01T00:00:00Z"
"93",223759,"North Middlesex University Hospital",51.6130738,-0.075493,"2020-12-01T00:00:00Z"
"94",223760,"Parkside",51.426126,-0.222013,"2019-02-06T02:00:00Z"
"95",223761,"Camberwell Road",51.475739,-0.093557,"2020-12-01T00:00:00Z"
"96",223762,"Blomfontein Road",51.514071,-0.235418,"2020-12-01T00:00:00Z"
"97",223763,"The Royal London Hospital",51.518778,-0.058917,"2020-12-01T00:00:00Z"
"98",223764,"Upper Richmond Road",51.465116,-0.254736,"2020-12-01T00:00:00Z"
"99",223765,"Woolwich Manor Way",51.515901,0.060587,"2018-11-29T10:00:00Z"
"100",223766,"Pemberton Gardens",51.562469,-0.132545,"2020-12-01T00:00:00Z"
"101",223767,"Bank Junction",51.513206,-0.088786,"2020-01-17T15:00:00Z"
"102",223768,"Whitecross",51.521451,-0.092771,"2020-12-01T00:00:00Z"
"103",223769,"Cornwall Road",51.506643,-0.112107,"2020-12-01T00:00:00Z"
"104",223770,"Roehampton Lane",51.455096,-0.243402,"2020-11-30T22:00:00Z"
"105",223771,"Holloway Road",51.555387,-0.116092,"2020-12-01T00:00:00Z"
"106",223772,"Drury Lane",51.513472,-0.119223,"2020-12-01T00:00:00Z"
"107",223773,"Pattison Road",51.560877,-0.195749,"2020-12-01T00:00:00Z"
"108",223774,"Wood Lane",51.561372,0.148582,"2020-10-28T02:00:00Z"
"109",223775,"Laystall St",51.522514,-0.112014,"2020-11-30T22:00:00Z"
"110",223776,"Steerforth Street",51.438489,-0.187703,"2018-11-26T02:00:00Z"
"111",223777,"Lollard Street",51.492714,-0.114098,"2020-09-18T02:00:00+01:00"
"112",223778,"Farringdon Street",51.514743,-0.104526,"2020-12-01T00:00:00Z"
"113",223779,"Broomhill Road",51.379382,0.100759,"2019-04-30T19:00:00+01:00"
"114",223780,"Monnery Road",51.560567,-0.135615,"2020-12-01T00:00:00Z"
"115",223781,"Romford Road",51.554615,0.058982,"2020-12-01T00:00:00Z"
"116",223782,"Wandsworth Road",51.475735,-0.131209,"2020-08-21T06:00:00+01:00"
"117",223783,"Ellenborough Road",51.59906,-0.095201,"2020-12-01T00:00:00Z"
"118",223784,"Kew Road",51.46394,-0.301597,"2020-11-30T22:00:00Z"
"119",223785,"Lancell Street",51.5618,-0.07587,"2020-12-01T00:00:00Z"
"120",223786,"Royal Marsden Hospital",51.49081,-0.173236,"2020-11-20T19:00:00Z"
"121",223787,"Borough High Street",51.506131,-0.088654,"2020-05-28T03:00:00+01:00"
"122",223788,"The Vale",51.506679,-0.262782,"2020-12-01T00:00:00Z"
"123",223789,"St Anns Hill",51.456143,-0.18927,"2020-12-01T00:00:00Z"
"124",223790,"Finchley Road",51.544237,-0.17523,"2019-03-15T02:00:00Z"
"125",223791,"Royal Free Hospital",51.553606,-0.16701,"2020-11-30T16:00:00Z"
"126",223792,"Hanworth Road",51.468625,-0.35977,"2020-12-01T00:00:00Z"
"127",223793,"Markfield Road",51.583916,-0.064269,"2020-12-01T00:00:00Z"
"128",223794,"Garrett Lane",51.440399,-0.186775,"2020-12-01T00:00:00Z"
"129",223795,"Rosebery Avenue",51.52844,-0.10692,"2020-12-01T00:00:00Z"
"130",223796,"Tower Bridge Road",51.501965,-0.077592,"2020-12-01T00:00:00Z"
"131",223797,"Cowcross Street",51.52011,-0.103411,"2020-12-01T00:00:00Z"
"132",223798,"Fulham Palace Road",51.486377,-0.220843,"2020-12-01T00:00:00Z"
"133",223799,"Richmond Road",51.447883,-0.326007,"2020-11-30T18:00:00Z"
"134",223800,"Holloway Road",51.555387,-0.116092,"2019-09-17T03:00:00+01:00"
"135",223801,"Holloway Road",51.555387,-0.116092,"2019-03-15T02:00:00Z"
"136",223802,"Newham University Hospital",51.522407,0.037865,"2020-12-01T00:00:00Z"
"137",223803,"Robin Hood Health Centre",51.362842,-0.196908,"2020-12-01T00:00:00Z"
"138",223804,"Broadway Street",51.45788,0.135353,"2020-12-01T00:00:00Z"
"139",223805,"Wetland Centre",51.476168,-0.230427,"2018-12-17T02:00:00Z"
"140",223806,"Triangle Adventure Playground",51.481924,-0.115556,"2020-12-01T00:00:00Z"
"141",223807,"Beaumont Grove",51.521004,-0.046559,"2020-12-01T00:00:00Z"
"142",223808,"Exhibition Road",51.495475,-0.173573,"2020-12-01T00:00:00Z"
"143",223809,"The Broadway",51.511169,-0.375738,"2020-11-21T21:00:00Z"
"144",223810,"Great Ormond St Hospital",51.52188,-0.120434,"2020-12-01T00:00:00Z"
"145",223811,"Blackfriars Road",51.505529,-0.104345,"2020-06-23T02:00:00+01:00"
"146",223812,"Larkshall Road",51.618933,-0.000281,"2020-10-16T02:00:00+01:00"
"147",223813,"Haseltine Road",51.42796,-0.036516,"2019-05-20T03:00:00+01:00"
"148",223814,"London Road",51.410714,-0.296626,"2020-09-29T02:00:00+01:00"
"149",223815,"Hendon Street",51.495027,0.010292,"2020-12-01T00:00:00Z"
"150",223816,"Dollis Road",51.604486,-0.206551,"2020-12-01T00:00:00Z"
"151",225705,"Bexley - Belvedere West",51.4946486813055,0.137279111232178,"2024-12-02T09:00:00Z"
"152",225707,"Enfield - Derby Road",51.614864007,-0.0507658363689,"2024-12-02T10:00:00Z"
"153",225708,"Barking and Dagenham - Rush Green",51.563752,0.177891,"2024-11-29T08:00:00Z"
"154",225709,"Croydon - Norbury",51.411349,-0.12311,"2024-12-02T10:00:00Z"
"155",225710,"Greenwich - Blackheath",51.472504,-0.012381,"2024-12-02T10:00:00Z"
"156",225711,"Enfield - Bowes Primary School",51.613865,-0.125338,"2024-12-02T10:00:00Z"
"157",225713,"Brent - ARK Franklin Primary Academy",51.5324054617809,-0.217718908639377,"2024-12-02T10:00:00Z"
"158",225714,"Bexley - Belvedere",51.4906102082147,0.158914493927518,"2024-12-02T10:00:00Z"
"159",225715,"Brent - Neasden Lane",51.552656,-0.248774,"2024-12-02T10:00:00Z"
"160",225718,"Camden - Holborn (Bee Midtown)",51.5173675146177,-0.1201947113171,"2023-05-05T10:00:00+01:00"
"161",225719,"Brent - John Keble Primary School",51.537799,-0.247793,"2024-12-02T10:00:00Z"
"162",225721,"City of London - Walbrook Wharf",51.510499,-0.091634,"2023-01-10T13:00:00Z"
"163",225723,"Brent - Ikea",51.552476,-0.258089,"2024-12-02T09:00:00Z"
"164",225725,"Bromley - Harwood Avenue",51.405546,0.018882,"2024-12-02T10:00:00Z"
"165",225727,"Barking and Dagenham - Scrattons Farm",51.529389,0.132857,"2024-12-02T09:00:00Z"
"166",225730,"Enfield - Prince of Wales School",51.66864334727,-0.02200720557,"2024-12-02T10:00:00Z"
"167",225731,"City of London - Beech Street",51.520225273171,-0.0961060474176381,"2023-07-03T13:00:00+01:00"
"168",225733,"Ealing - Hanger Lane Gyratory",51.53085,-0.292488,"2024-12-02T10:00:00Z"
"169",225734,"Croydon - Purley Way A23",51.3622305655403,-0.117604507351392,"2024-12-02T10:00:00Z"
"170",225735,"City of London - Upper Thames Street",51.5105969158391,-0.0921029031922594,"2023-07-03T11:00:00+01:00"
"171",225736,"Enfield - Bush Hill Park",51.6450367266602,-0.0661800662229116,"2024-12-02T10:00:00Z"
"172",225737,"City of London - The Aldgate School",51.513847178423,-0.077765681752,"2023-06-30T04:00:00+01:00"
"173",225741,"Ealing - Acton Vale ",51.5038527919816,-0.254668101620372,"2024-12-02T10:00:00Z"
"174",225743,"City of London - Farringdon Street",51.5145253362314,-0.104515626337876,"2023-07-03T12:00:00+01:00"
"175",225744,"Ealing - Western Avenue",51.5236078191481,-0.265502631799754,"2024-11-28T07:00:00Z"
"176",225747,"Greenwich - A206 Burrage Grove",51.490532,0.074003,"2024-12-02T10:00:00Z"
"177",225751,"Greenwich - Plumstead High Street",51.486957,0.095111,"2024-12-02T10:00:00Z"
"178",225753,"Redbridge - Gardner Close",51.57661,0.030858,"2024-04-03T12:00:00+01:00"
"179",225755,"Greenwich - John Harrison Way",51.4937746695818,0.0107796237032558,"2024-12-02T10:00:00Z"
