"","id","name","latestDateUTC","value","latitude","longitude"
"1",1304603,"o3 µg/m³","2024-11-28T10:00:00Z",-12.1,51.486957,0.095111
"2",1304607,"pm25 µg/m³","2024-12-17T04:00:00Z",3.8,51.486957,0.095111
"3",1316773,"pm10 µg/m³","2024-12-17T04:00:00Z",11,51.486957,0.095111
"4",1304609,"no2 µg/m³","2024-12-17T04:00:00Z",9.1,51.486957,0.095111
