"","X.1","X","id","name","latitude","longitude","latest","value"
"56","56","238","227060","Newham - Hoola Tower","51.508198","0.015002152","2024-12-13T04:00:00Z","39.4"
"57","57","239","230827","Southwark - South Circular Road","51.442633","-0.077653974","2024-12-13T09:00:00Z","5.3"
"58","58","240","270693","Waterloo Place (The Crown Estate)","51.5075819137762","-0.133068372704093","2024-12-13T09:00:00Z","12.6"
"59","59","242","270712","Lewisham - Laurence House Catford","51.4447808","-0.0221832","2024-12-13T09:00:00Z","35.4"
"60","60","244","290183","Tower Hamlets - Jubilee Park","51.5029878731458","-0.0180219908165375","2024-12-13T08:00:00Z","5.5"
"61","61","250","1235983","Islington","51.5465402591367","-0.0907452421552941","2024-12-13T10:00:00Z","8.54563494523366"
"62","62","251","1462792","UAL Creative Computing Institute, Greencoat Building","51.4723090811869","-0.0860062392925502","2024-12-13T10:00:00Z","6.34104164441427"
"63","63","252","2453304","Marylebone Road","51.52224","-0.15657","2024-12-13T10:00:00Z","14.4833335081736"
"64","64","253","2453309","Honor Oak Park","51.451186","-0.039428","2024-12-13T10:00:00Z","12.431249777476"
"65","65","254","2453312","Honor Oak Park","51.451186","-0.039428","2024-12-13T10:00:00Z","8.61944444974264"
"66","66","255","2453319","Marylebone Road","51.52224","-0.15657","2024-12-13T10:00:00Z","9.61250003178914"
"67","67","262","2984093","Maiden Lane, London","51.5423","-0.1285","2024-12-13T10:00:00Z","7.10550598303477"
"68","68","263","3039088","Farthing downs","51.3082","-0.1365","2024-12-13T10:00:00Z","5.01479160785675"
"69","69","264","3053804","Twickenham","51.4453484391268","-0.334872116489035","2024-12-13T10:00:00Z","6713.10819498698"
"70","70","269","3057945","Harlesden LP2","51.53469","-0.23755","2024-12-13T09:56:44Z","14.34"
"71","71","270","3057946","Harlesden HP2","51.53356","-0.24096","2024-12-13T09:53:02Z","12.94"
"72","72","271","3057947","Harlesden HP1","51.53505","-0.24312","2024-12-13T10:01:15Z","11.22"
"73","73","272","3057948","Harlesden LP1","51.53536","-0.24114","2024-12-13T10:03:21Z","11.97"
"74","74","273","3079185","Stondon Walk","51.531674","0.045623","2024-12-13T10:00:00Z","1.06883332629999"
"75","75","275","3261167","Primrose Hill","51.5395","-0.1519","2024-12-13T10:00:00Z","4.21683329343796"
"76","76","276","3278199","Perivale, Buckingham Ave","51.54084","-0.321103","2024-12-13T10:00:00Z","15.1996250152588"
"77","77","278","3308933","Mitcham Road","51.42551","-0.16475","2024-12-13T09:16:46Z","11.15"
"78","78","279","3308934","Bellevue Road / Trinity Road","51.44393","-0.168","2024-12-13T09:21:18Z","11.56"
"79","79","280","3308935","Twickenham Primary Academy","51.44477","-0.34011","2024-12-13T09:53:20Z","9.78"
"80","80","281","3308936","Wandsworth Bridge","51.46362","-0.18639","2024-12-13T10:01:36Z","10.36"
"81","81","282","3308937","Battersea Park Road","51.47617","-0.14802","2024-12-13T09:44:38Z","15.19"
"82","82","283","3308938","Thomson House School","51.46833","-0.26648","2024-12-13T09:47:35Z","9.45"
"83","83","284","3308939","Putney High Street","51.4611","-0.21683","2024-12-13T08:54:17Z","10.97"
"84","84","285","3308940","Nine Elms Lane","51.48125","-0.13843","2024-12-13T09:43:00Z","11.79"
"85","85","286","3308941","Richmond Bus Garage","51.45935","-0.30416","2024-12-13T09:27:51Z","10.81"
"86","86","287","3308942","High St, Barnes","51.47381","-0.2493","2024-12-13T09:05:15Z","9.64"
"87","87","288","3308943","Church Rd","51.413","-0.36031","2024-12-13T09:49:44Z","11.11"
"88","88","289","3308944","St Mary's RC Primary","51.47692","-0.14587","2024-12-13T09:58:01Z","13.22"
"89","89","290","3308945","High St, Witton","51.45099","-0.35786","2024-12-13T09:49:06Z","15.25"
"90","90","291","3308946","Park Rd, Hampton Hill","51.42923","-0.35474","2024-12-13T09:48:12Z","9.84"
"91","91","292","3308947","Lwr Rich Rd, Chertsy Corner, nr j/w houses","51.46899","-0.27589","2024-12-13T10:04:48Z","10.01"
"92","92","293","3308948","Holy Trinity CE Primary School","51.46324","-0.28577","2024-12-13T10:03:43Z","10.84"
"93","93","294","3308949","King St, Twickenham","51.44638","-0.32848","2024-12-13T09:36:03Z","14.2"
"94","94","295","3308950","Kew Rd, before j/w South Circle / Kew Green","51.48261","-0.28703","2024-12-13T10:02:10Z","10.3"
"95","95","296","3308951","Nelson Primary School","51.45288","-0.36178","2024-12-13T09:56:18Z","12.42"
"96","96","297","3308952","St Margaret's Road, Twickenham","51.46046","-0.32262","2024-12-13T06:22:04Z","24.3"
"97","97","298","3308953","Chase Bridge Primary School","51.45374","-0.34524","2024-12-13T09:54:26Z","11.77"
"98","98","299","3308954","Roehampton Lane","51.44966","-0.23949","2024-12-13T09:43:12Z","9.82"
"99","99","300","3308955","Deer Park School","51.45555","-0.31041","2024-12-13T10:03:32Z","10.03"
"100","100","301","3308956","Kew Rd, Richmond, opposite station","51.46399","-0.3016","2024-12-13T09:26:57Z","16.75"
"101","101","302","3308957","The Vineyard Schl, Friars Stile Rd","51.45474","-0.29799","2024-12-13T09:18:15Z","15.63"
"102","102","303","3308958","Wandsworth Town","51.45701","-0.19426","2024-12-13T09:11:08Z","10.07"
"103","103","304","3308959","Archdeacon Cambridge's CofE Primary School","51.44279","-0.34248","2024-12-13T08:56:10Z","15.43"
"104","104","305","3309035","St Richards CE Primary School","51.43605","-0.31896","2024-12-13T08:36:24Z","12.38"
"105","105","306","3309036","Broad Street, Teddington","51.42603","-0.33907","2024-12-13T07:58:23Z","27.83"
"106","106","307","3309037","West Hill","51.45609","-0.20085","2024-12-13T09:01:45Z","10.71"
